Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Brookdale University Park (230490): December 2022,2022-12-30,Healthcare - Assisted Living,,Denver,2022-12-02,13,3,,,,,16,0,,,,,,,
Caley (06H512): November 2022,2022-12-13,Healthcare - Intermediate Care,,Arapahoe,2022-12-02,,3,,,,,3,0,,,,,,,
"California Expanded Metal Products ""CEMCO Steel"": November 2022",2022-12-15,Non-Food Manufacturer/Warehouse,,Denver,2022-12-02,,3,,,,,3,0,,,,,,,
Denver Green School Northfield: November 2022,2023-01-11,School K-12,,Denver,2022-12-02,,,2,,,,2,0,,,,,,,
Jacob J And Anne B Walter Memorial Living Center (2301LU): November 2022,2022-12-22,Healthcare - Assisted Living,,Sedgwick,2022-12-02,5,1,,1,,,6,1,,,,,,,
Life Care Center of Greeley (0203TL): December 2022,2022-12-27,Healthcare - Nursing Facility,,Weld,2022-12-02,1,3,,,,,4,0,,,,,,,
Mackenzie Place - Fort Collins (23Z789): November 2022,2023-01-02,Healthcare - Assisted Living,,Larimer,2022-12-02,4,7,,,,,11,0,,,,,,,
Melody Living of Colorado Springs (23P166): December 2022 #1,2022-12-17,Healthcare - Assisted Living,,El Paso,2022-12-02,1,,,,,,1,0,,,,,,,
Montrose Crisis Walk-In Center - Axis Health System,2023-01-13,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),,Montrose,2022-12-02,,2,,,,,2,0,,,,,,,
Park Hill Residence (2304GP),2022-12-27,Healthcare - Assisted Living,,Denver,2022-12-02,20,5,,,,,25,0,,,,,,,
Sunrise Assisted Living of Boulder (23H563): November 2022,2022-12-31,Healthcare - Assisted Living,,Boulder,2022-12-02,1,6,,,,,7,0,,,,,,,
Trinidad Inn Nursing Home (020796): December 2022,2023-01-01,Healthcare - Nursing Facility,,Las Animas,2022-12-02,,5,,,,,5,0,,,,,,,
University Heights Rehab and Care Community (020447): December 2022,2022-12-15,Healthcare - Nursing Facility,,Arapahoe,2022-12-02,1,1,,,,,2,0,,,,,,,
Zebulon Pike Youth Services Center: December 2022,2023-01-02,"Correctional, Other",Youth correctional facility,Colorado,2022-12-02,4,4,,,,,8,0,,,,,,,
Community Alternatives of El Paso County: November 2022,2023-01-06,"Correctional, Other",,El Paso,2022-12-03,10,1,,,,,11,0,,,,,,,
Academy University Hill (2303OR): December 2022,2023-01-16,Healthcare - Assisted Living,,Boulder,2022-12-05,3,6,,,,,9,0,,,,,,,
Berthoud Care and Rehabilitation (020388): December 2022,2023-01-04,Healthcare - Nursing Facility,,Larimer,2022-12-05,8,5,,,,,13,0,,,,,,,
Brookdale Greenwood Village Assisted Living (2304MV): December 2022,2022-12-26,Healthcare - Assisted Living,,Arapahoe,2022-12-05,7,1,,,,,8,0,,,,,,,
Cappella of Grand Junction (23U246): November 2022,2022-12-29,Healthcare - Assisted Living,,Mesa,2022-12-05,5,,,,,,5,0,,,,,,,
Colorado State Veterans Nursing Home - Rifle (020855): November 2022,2023-01-09,Healthcare - Nursing Facility,,Colorado,2022-12-05,,9,,,,,9,0,,,,,,,
Constant Care III Loma Linda (2305FX),2022-12-13,Healthcare - Assisted Living,,El Paso,2022-12-05,3,,,,,,3,0,,,,,,,
Constant Care IV Woodburn (2305U1): November 2022,2022-12-09,Healthcare - Assisted Living,,El Paso,2022-12-05,3,2,,,,,5,0,,,,,,,
Good Samaritan Society- Fort Collins Village (020314): December 2022,2023-01-04,Healthcare - Nursing Facility,,Larimer,2022-12-05,6,11,,,,,17,0,,,,,,,
International School of Denver: November 2022,2023-03-01,School K-12,,Denver,2022-12-05,,5,3,,,,8,0,,,,,,,
Loving Touch Elderly Assistant Care Inc (23Y819),2022-12-30,Healthcare - Assisted Living,,Arapahoe,2022-12-05,3,,,,,,3,0,,,,,,,
Peachtree Assisted Living LLC #1 (231117): December 2022,2022-12-17,Healthcare - Assisted Living,,Mesa,2022-12-05,1,1,,,,,2,0,,,,,,,
RMCC (233XFG),2022-12-12,Healthcare - Assisted Living,,Jefferson,2022-12-05,1,,,,,,1,0,,,,,,,
Second Street RTF (2304P8): December 2022,2022-12-15,Healthcare - Assisted Living,,Denver,2022-12-05,1,,,,,,1,0,,,,,,,
Sopris Lodge at Carbondale (23TDI7): December 2022,2022-12-20,Healthcare - Assisted Living,,Garfield,2022-12-05,9,,,,,,9,0,,,,,,,
The Carillon at Boulder Creek Assisted Living (23V719): December 2022 #1,2022-12-25,Healthcare - Assisted Living,,Boulder,2022-12-05,3,,,,,,3,0,,,,,,,
Whole Foods Market - Bradburn,2022-12-27,Grocery Store,,Adams,2022-12-05,,2,,,,,2,0,,,,,,,
Berkley Manor Care Center (020419): December 2022,2022-12-22,Healthcare - Nursing Facility,,Denver,2022-12-06,1,1,,,,,2,0,,,,,,,
"Fremont Home Care, Inc (23R156)",2022-12-20,Healthcare - Assisted Living,,Fremont,2022-12-06,8,2,,,,,10,0,,,,,,,
Hildebrand Care Center (020666): December 2022,2023-01-23,Healthcare - Nursing Facility,,Fremont,2022-12-06,28,23,,2,,,51,2,,,,,,,
Parkview Care Center (020440): December 2022,2023-01-13,Healthcare - Nursing Facility,,Denver,2022-12-06,18,8,,1,,,26,1,,,,,,,
Prairie Creeks Living Center (23041O): December 2022,2022-12-26,Healthcare - Assisted Living,,Adams,2022-12-06,6,1,,,,,7,0,,,,,,,
Prestige Care Center of Fort Collins (020367): December 2022,2023-01-10,Healthcare - Nursing Facility,,Larimer,2022-12-06,,3,,,,,3,0,,,,,,,
Rocky Mountain Assisted Living - Reed (2356OV),2022-12-20,Healthcare - Assisted Living,,Jefferson,2022-12-06,4,,,,,,4,0,,,,,,,
Skyline Ridge Nursing and Rehabilitation Center (020682): December 2022,2023-01-19,Healthcare - Nursing Facility,,Fremont,2022-12-06,6,12,,,,,18,0,,,,,,,
Stephen's Farm at Adeo Colorado (23A930): December 2022,2022-12-19,Healthcare - Assisted Living,,Weld,2022-12-06,,3,,,,,3,0,,,,,,,
Sundance Skilled Nursing And Rehabilitation (020546): December 2022,2022-12-23,Healthcare - Nursing Facility,,El Paso,2022-12-06,3,3,,,,,6,0,,,,,,,
The Lodge at Grand Junction (23W782): November 2022,2022-12-17,Healthcare - Assisted Living,,Mesa,2022-12-06,2,1,,,,,3,0,,,,,,,
Washington County Nursing Home (020162): December 2022,2023-01-01,Healthcare - Nursing Facility,,Washington,2022-12-06,6,1,,1,,,7,1,,,,,,,
Aspens at Fort Collins (23G501): December 2022 #1,2022-12-27,Healthcare - Assisted Living,,Larimer,2022-12-07,1,1,,,,,2,0,,,,,,,
Creekside Village Health and Rehabilitation Center (020372): December 2022,2023-02-06,Healthcare - Nursing Facility,,Larimer,2022-12-07,36,17,,,,,53,0,,,,,,,
Fremont Home Care Cedar (23H131): December 2022,2022-12-23,Healthcare - Assisted Living,,Fremont,2022-12-07,1,4,,,,,5,0,,,,,,,
Grand Junction Regional Center - Developmental Center (061162): November 2022,2022-12-13,Healthcare - Facility for Developmentally Disabled,,Colorado,2022-12-07,1,2,,,,,3,0,,,,,,,
Grand Junction Regional Center-House 3 (0511RU): December 2022,2022-12-20,Healthcare - Intermediate Care,,Colorado,2022-12-07,3,,,,,,3,0,,,,,,,
Holly Heights Care Center (020412): December 2022,2023-01-23,Healthcare - Nursing Facility,,Denver,2022-12-07,43,33,,,,,76,0,,,,,,,
Mesa County Work Release/Community Corrections: November 2022,2022-12-19,"Correctional, Other",,Mesa,2022-12-07,7,3,,,,,10,0,,,,,,,
MorningStar at Ridgegate (23X760): November 2022,2023-01-16,Healthcare - Assisted Living,,Douglas,2022-12-07,37,11,,,,,48,0,,,,,,,
South Valley Post Acute Rehabilitation (020416): December 2022,2023-01-13,Healthcare - Nursing Facility,,Denver,2022-12-07,5,2,,,,,7,0,,,,,,,
The Courtyards At Mountain View (23X801): December 2022,2023-01-13,Healthcare - Assisted Living,,Denver,2022-12-07,19,7,,1,,,26,1,,,,,,,
Bridge Assisted Living at Life Care Center of Colorado Springs (23052X): November 2022,2022-12-08,Healthcare - Assisted Living,,El Paso,2022-12-08,1,1,,,,,2,0,,,,,,,
Jacob Academy - Alkire St,2022-12-05,Child Care Center,,Jefferson,2022-12-08,,3,1,,,,4,0,,,,,,,
"Monte Vista Estates, LLC (021023): December 2022",2022-12-29,Healthcare - Nursing Facility,,Rio Grande,2022-12-08,,4,,,,,4,0,,,,,,,
Balfour at Central Park (23H949): December 2022,2022-12-27,Healthcare - Assisted Living,,Denver,2022-12-09,,3,,,,,3,0,,,,,,,
Greenridge Place (23Y387): December 2022,2023-01-02,Healthcare - Assisted Living,,Jefferson,2022-12-09,2,1,,,,,3,0,,,,,,,
Hillcrest Care Center (020197): December 2022,2023-01-17,Healthcare - Nursing Facility,,Yuma,2022-12-09,3,8,,,,,11,0,,,,,,,
Legend of Colorado Springs (2309QO): December 2022,2022-12-23,Healthcare - Assisted Living,,El Paso,2022-12-09,6,2,,,,,8,0,,,,,,,
Platte Valley Youth Services Center: December 2022,2022-12-21,"Correctional, Other",Youth correctional facility,Colorado,2022-12-09,5,2,,,,,7,0,,,,,,,
Rifle Housing Authority: December 2022,2023-01-02,Healthcare - Independent Living Facility,Senior Independent living/low-income housing,Garfield,2022-12-09,3,,,,,,3,0,,,,,,,
Spectra Human Services,2022-12-20,Healthcare - Facility for Developmentally Disabled,,Jefferson,2022-12-09,,,2,,,,2,0,,,,,,,
The Residence at Oakridge (23R289): December 2022,2023-01-26,Healthcare - Assisted Living,,Larimer,2022-12-09,27,9,,,,,36,0,,,,,,,
The Towers (23R904): December 2022,2022-12-19,Healthcare - Assisted Living,,Yuma,2022-12-09,,4,,,,,4,0,,,,,,,
The Villas at Sunny Acres Assisted Living (23U240): December 2022,2022-12-25,Healthcare - Assisted Living,,Adams,2022-12-09,2,,,,,,2,0,,,,,,,
Vi at Highlands Ranch: November 2022,2023-01-24,Healthcare - Independent Living Facility,,Douglas,2022-12-09,5,,,,,,5,0,,,,,,,
Assisted Living Of Arvada Inc (23S680),2022-12-29,Healthcare - Assisted Living,,Jefferson,2022-12-12,7,,,,,,7,0,,,,,,,
Cappella of Pueblo West (2306FN): November 2022,2022-12-12,Healthcare - Assisted Living,,Pueblo,2022-12-12,1,,,,,,1,0,,,,,,,
Denver CARES: November 2022,2022-12-26,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),,Denver,2022-12-12,9,,,,,,9,0,,,,,,,
Forest Ridge (02D453): December 2022,2023-01-09,Healthcare - Nursing Facility,,Teller,2022-12-12,9,3,,,,,12,0,,,,,,,
Four Mile Correctional Center: December 2022,2023-02-05,State Prison,,Colorado,2022-12-12,7,5,,,,,12,0,,,,,,,
Frasier Meadows Health Care Center (020301): December 2022,2023-02-01,Healthcare - Nursing Facility,,Boulder,2022-12-12,30,11,,6,,,41,6,,,,,,,
Garfield County Detention Center: December 2022,2023-01-12,Jail,,Garfield,2022-12-12,22,,,,,,22,0,,,,,,,
Monroe House RTF (2304G7): November 2022,2022-12-30,Healthcare - Assisted Living,,Denver,2022-12-12,2,,,,,,2,0,,,,,,,
"The Center At Northridge, LLC (02I148): December 2022",2023-01-28,Healthcare - Nursing Facility,,Adams,2022-12-12,6,12,,,,,18,0,,,,,,,
The Green House Homes at Mirasol (02F496): December 2022,2023-01-16,Healthcare - Nursing Facility,,Larimer,2022-12-12,12,12,,,,,24,0,,,,,,,
Bethany Nursing and Rehab Center (020420): December 2022,2023-01-16,Healthcare - Nursing Facility,,Jefferson,2022-12-13,26,7,,,,,33,0,,,,,,,
Bethesda Gardens Loveland (23F492): December 2022,2022-12-19,Healthcare - Assisted Living,,Larimer,2022-12-13,2,1,,,,,3,0,,,,,,,
Cadence Aurora (23048J): December 2022,2023-01-08,Healthcare - Assisted Living,,Arapahoe,2022-12-13,3,1,,,,,4,0,,,,,,,
Clermont Park Assisted Living (230463): December 2022,2022-12-30,Healthcare - Assisted Living,,Denver,2022-12-13,2,4,,1,,,6,1,,,,,,,
"Continuing Care At Wind Crest (02H136): December 2022	",2023-01-30,Healthcare - Nursing Facility,,Douglas,2022-12-13,1,8,,,,,9,0,,,,,,,
Evergreen Nursing Home (021065): December 2022,2023-01-13,Healthcare - Nursing Facility,,Alamosa,2022-12-13,9,1,,1,,,10,1,,,,,,,
Gardens at St Elizabeth (230426): December 2022,2023-01-06,Healthcare - Assisted Living,,Denver,2022-12-13,9,2,,,,,11,0,,,,,,,
HopeWest Mesa Day Center,2023-01-13,Healthcare - Outpatient,Day Program ,Mesa,2022-12-13,6,1,,,,,7,0,,,,,,,
Junction Creek Health and Rehabilitation Center (021299): December 2022,2022-12-27,Healthcare - Nursing Facility,,La Plata,2022-12-13,1,,,,,,1,0,,,,,,,
Liberty Heights Skilled Nursing Center (020501): November 2022 #2,2022-12-13,Healthcare - Nursing Facility,,El Paso,2022-12-13,1,1,,,,,2,0,,,,,,,
Modena Cherry Creek (23P249): December 2022,2023-01-02,Healthcare - Assisted Living,,Arapahoe,2022-12-13,2,,,,,,2,0,,,,,,,
RTD District Shops: December 2022,2023-02-23,Other,Public Transportation,Denver,2022-12-13,,5,,,,,5,0,,,,,,,
Belleview Suites At DTC Assisted Living & Memory (2304VK): December 2022,2023-01-13,Healthcare - Assisted Living,,Denver,2022-12-14,1,5,,,,,6,0,,,,,,,
Grand Junction Regional Center-House 7 (06RBM9): December 2022,2022-12-27,Healthcare - Intermediate Care,,Colorado,2022-12-14,5,5,,,,,10,0,,,,,,,
La Vista Correctional Facility: December 2022,2023-01-11,State Prison,,Colorado,2022-12-14,6,7,,,,,13,0,,,,,,,
San Luis Care Center (021020): December 2022,2023-01-04,Healthcare - Nursing Facility,,Alamosa,2022-12-14,,3,,,,,3,0,,,,,,,
Bonaventure of Thornton LLC (23O534): December 2022,2023-01-31,Healthcare - Assisted Living,,Adams,2022-12-15,1,3,,,,,4,0,,,,,,,
Colorado Territorial Correctional Facility: December 2022,2023-01-10,State Prison,,Colorado,2022-12-15,4,12,,,,,16,0,,,,,,,
MeadowView of Greeley (23N615): December 2022,2022-12-30,Healthcare - Assisted Living,,Weld,2022-12-15,3,,,,,,3,0,,,,,,,
"AHC of Lakewood, LLC (02KACQ): December 2022",2022-12-21,Healthcare - Nursing Facility,,Jefferson,2022-12-16,1,2,,1,,,3,1,,,,,,,
"Lamar Estates, LLC (020201): December 2022",2023-01-21,Healthcare - Nursing Facility,,Prowers,2022-12-16,13,2,,,,,15,0,,,,,,,
Pueblo Regional Center - House D (0506H7): December 2022,2022-12-26,Healthcare - Intermediate Care,,Colorado,2022-12-16,,4,,,,,4,0,,,,,,,
The Center at Park West LLC (02E472): December 2022,2022-12-28,Healthcare - Nursing Facility,,Pueblo,2022-12-16,3,1,,,,,4,0,,,,,,,
The Lodge at Greeley (23R710): December 2022,2023-01-15,Healthcare - Assisted Living,,Weld,2022-12-16,,7,,,,,7,0,,,,,,,
Valley Manor Care Center (021172): December 2022,2023-01-23,Healthcare - Nursing Facility,,Montrose,2022-12-16,3,6,,,,,9,0,,,,,,,
Canon Lodge Care Center (020676): December 2022,2023-01-18,Healthcare - Nursing Facility,,Fremont,2022-12-19,2,3,,,,,5,0,,,,,,,
Garden Square at Westlake (2303C0): December 2022,2023-01-10,Healthcare - Assisted Living,,Weld,2022-12-19,2,1,,,,,3,0,,,,,,,
High Street Home (06P261): December 2022,2023-01-02,Healthcare - Intermediate Care,,Arapahoe,2022-12-19,4,3,,,,,7,0,,,,,,,
Highline Place (23L199): December 2022,2022-12-31,Healthcare - Assisted Living,,Arapahoe,2022-12-19,1,,,,,,1,0,,,,,,,
Jerusalem Assisted Living Facility (23T697): December 2022,2022-12-31,Healthcare - Assisted Living,,Denver,2022-12-19,1,,,,,,1,0,,,,,,,
Pelican Pointe Health & Rehabilitation Center (020332): December 2022,2023-01-05,Healthcare - Nursing Facility,,Weld,2022-12-19,3,9,,,,,12,0,,,,,,,
Spring Ridge Park Assisted Living (2304AL): December 2022,2023-01-20,Healthcare - Assisted Living,,Jefferson,2022-12-19,16,4,,,,,20,0,,,,,,,
The Carillon at Belleview Station (23N139): December 2022,2023-02-03,Healthcare - Assisted Living,,Denver,2022-12-19,24,5,,,,,29,0,,,,,,,
Falcon Heights Health and Rehabilitation Center (020586): December 2022,2023-02-09,Healthcare - Nursing Facility,,El Paso,2022-12-20,5,10,,,,,15,0,,,,,,,
Grand River Health Care Center (020899): December 2022,2023-01-01,Healthcare - Nursing Facility,,Garfield,2022-12-20,,3,,,,,3,0,,,,,,,
Ivy Cottage Assisted Living Facility (230528): December 2022,2023-01-02,Healthcare - Assisted Living,,El Paso,2022-12-20,2,1,,,,,3,0,,,,,,,
Lincoln Health Care Center (020167): December 2022,2023-01-10,Healthcare - Nursing Facility,,Lincoln,2022-12-20,2,1,,,,,3,0,,,,,,,
Lincoln Meadows Senior Living (23D500): January 2023,2023-01-17,Healthcare - Assisted Living,,Douglas,2022-12-20,12,2,,,,,14,0,,,,,,,
Mountain Vista Health Center (020429): December 2022,2023-02-03,Healthcare - Nursing Facility,,Jefferson,2022-12-20,,6,,,,,6,0,,,,,,,
Sierra Rehabilitation and Care Community (020423): December 2022,2023-02-03,Healthcare - Nursing Facility,,Jefferson,2022-12-20,10,2,,,,,12,0,,,,,,,
Glenwood Springs Healthcare (020889): December 2022,2023-01-26,Healthcare - Nursing Facility,,Garfield,2022-12-21,13,11,,,,,24,0,,,,,,,
Good Samaritan Society Water Valley Sr Lvg Resort (23V721): December 2022,2023-02-10,Healthcare - Assisted Living,,Weld,2022-12-21,12,8,,,,,20,0,,,,,,,
Renew Saddle Rock (23L575): December 2022,2023-01-22,Healthcare - Assisted Living,,Arapahoe,2022-12-21,28,10,,1,,,38,1,,,,,,,
Sunrise of Westminster (23R753): December 2022,2023-01-06,Healthcare - Assisted Living,,Adams,2022-12-21,1,,,,,,1,0,,,,,,,
Western Hills Health Care Center (020438): December 2022,2023-01-09,Healthcare - Nursing Facility,,Jefferson,2022-12-21,16,10,,,,,26,0,,,,,,,
Caley Ridge Assisted Living Community (230487): December 2022,2023-01-13,Healthcare - Assisted Living,,Arapahoe,2022-12-22,6,4,,,,,10,0,,,,,,,
Elk Ridge Health and Rehabilitation Center (021141): December 2022,2023-01-24,Healthcare - Nursing Facility,,Montrose,2022-12-22,2,7,,,,,9,0,,,,,,,
Marion House (050140): December 2022,2022-12-25,Healthcare - RCFDD Group home,,Kit Carson,2022-12-22,1,,,,,,1,0,,,,,,,
Martin House (050160): December 2022,2023-01-03,Healthcare - RCFDD Group home,,Kit Carson,2022-12-22,1,3,,,,,4,0,,,,,,,
Meadow Hills Makarios Assisted Living (23C491): December 2022,2023-01-06,Healthcare - Assisted Living,,Arapahoe,2022-12-22,4,,,,,,4,0,,,,,,,
Porter Place (2304E7): December 2022,2023-01-23,Healthcare - Assisted Living,,Denver,2022-12-22,14,7,,,,,21,0,,,,,,,
Assured Assisted Living 1 (23L202),2023-01-03,Healthcare - Assisted Living,,Douglas,2022-12-23,4,,,,,,4,0,,,,,,,
Ellin Mrachek House (23IOSJ): December 2022,2023-01-10,Healthcare - Assisted Living,,Adams,2022-12-23,1,,,,,,1,0,,,,,,,
Montezuma County Sheriff's Department Detentions: December 2022,2023-01-24,Jail,,Montezuma,2022-12-23,4,1,,,,,5,0,,,,,,,
Santa Fe Group Home (05M596): December 2022,2023-01-23,Healthcare - RCFDD Group home,,Broomfield,2022-12-23,1,,,,,,1,0,,,,,,,
Vista View Care Center (02R315): December 2022,2023-01-20,Healthcare - Nursing Facility,,Adams,2022-12-23,1,5,,,,,6,0,,,,,,,
Aspen Siesta (020494),2023-01-13,Healthcare - Nursing Facility,,Denver,2022-12-26,15,9,,,,,24,0,,,,,,,
Colorado State Penitentiary: December 2022,2023-04-11,State Prison,,Colorado,2022-12-27,44,69,,,,,113,0,,,,,,,
Colorow Health Care LLC (021154): December 2022,2023-01-11,Healthcare - Nursing Facility,,Montrose,2022-12-27,,3,,,,,3,0,,,,,,,
King Soopers #121,2022-12-26,Grocery Store,,Jefferson,2022-12-27,,4,,,,,4,0,,,,,,,
Lighthouse Assisted Living Inc-Steele House (23K560),2023-01-04,Healthcare - Assisted Living,,Arapahoe,2022-12-27,3,,,,,,3,0,,,,,,,
Mapleton Care Center (020411): December 2022,2023-02-05,Healthcare - Nursing Facility,,Jefferson,2022-12-27,23,6,,,,,29,0,,,,,,,
"Melody Living of Colorado Springs (23P166): December 2022 #2	",2023-01-19,Healthcare - Assisted Living,,El Paso,2022-12-27,6,4,,,,,10,0,,,,,,,
Seven Lakes Memory Care (23S218): December 2022,2023-01-16,Healthcare - Assisted Living,,Larimer,2022-12-27,4,2,,,,,6,0,,,,,,,
The Rehabilitation Center at Sandalwood (020465): December 2022,2023-01-14,Healthcare - Nursing Facility,,Jefferson,2022-12-27,1,2,,,,,3,0,,,,,,,
Wheat Ridge Regional Center - House M (06Y390),2023-01-14,Healthcare - Intermediate Care,,Colorado,2022-12-27,3,2,,,,,5,0,,,,,,,
Arvada Care and Rehabilitation Center (020415): December 2022,2023-01-10,Healthcare - Nursing Facility,,Jefferson,2022-12-28,2,1,,,,,3,0,,,,,,,
Cliffview Assisted Living Center (23080R): December 2022,2023-01-12,Healthcare - Assisted Living,,Grand,2022-12-28,9,5,,,,,14,0,,,,,,,
Columbine Commons Assisted Living (23R659): December 2022,2023-01-11,Healthcare - Assisted Living,,Weld,2022-12-28,1,,,,,,1,0,,,,,,,
Continuing Care at Wind Crest (23A843): December 2022,2023-01-16,Healthcare - Assisted Living,,Douglas,2022-12-28,2,,,,,,2,0,,,,,,,
Liberty Heights Skilled Nursing Center (020501): December 2022,2023-01-29,Healthcare - Nursing Facility,,El Paso,2022-12-28,10,6,,,,,16,0,,,,,,,
"Lighthouse Assisted Living, Inc - Irwin House (23R935): December 2022",2023-01-04,Healthcare - Assisted Living,,Arapahoe,2022-12-28,3,,,,,,3,0,,,,,,,
Mountain Vista Assisted Living & Memory Care (2304SY): December 2022,2023-01-13,Healthcare - Assisted Living,,Jefferson,2022-12-28,8,,,,,,8,0,,,,,,,
New Mercer Commons (23036U): December 2022,2023-01-11,Healthcare - Assisted Living,,Larimer,2022-12-28,1,1,,,,,2,0,,,,,,,
Rock Canyon Respiratory and Rehabilitation Center (020699): December 2022,2023-01-09,Healthcare - Nursing Facility,,Pueblo,2022-12-28,1,,,,,,1,0,,,,,,,
Spruce House (23C703): December 2022,2023-01-11,Healthcare - Assisted Living,,El Paso,2022-12-28,4,1,,,,,5,0,,,,,,,
The Carillon at Boulder Creek Assisted Living (23V719): December 2022 #2,2023-01-11,Healthcare - Assisted Living,,Boulder,2022-12-28,1,,,,,,1,0,,,,,,,
ThriveCare (23W354): December 2022,2023-01-24,Healthcare - Assisted Living,,Jefferson,2022-12-28,3,,,,,,3,0,,,,,,,
ThriveCare Indore LLC (23R696),2023-01-10,Healthcare - Assisted Living,,Jefferson,2022-12-28,5,2,,,,,7,0,,,,,,,
